eventid,eventname,eventdate,Location,Shulid
1,Evening of Songs and Remembrance,2025-06-22,Kirya Tel Aviv,259
2,Melaveh Malka Meal,2025-07-02,Tel HaShomer,281
3,Lecture with Military Rabbi,2025-08-09,Kirya Tel Aviv,142
4,Halacha Seminar,2025-08-25,Negev Junction,353
5,Evening of Songs and Remembrance,2025-07-09,Mitzpe Ramon,108
6,Torah Lesson,2025-07-14,Mitzpe Ramon,44
7,Melaveh Malka Meal,2025-07-24,Mitzpe Ramon,31
8,Rosh Chodesh Prayer,2025-07-15,Tzrifin,264
9,Rosh Chodesh Prayer,2025-08-24,Michve Alon,68
10,Evening of Songs and Remembrance,2025-06-26,Michve Alon,68
11,Rosh Chodesh Prayer,2025-06-24,Tzeelim,234
12,Rosh Chodesh Prayer,2025-07-22,Mitzpe Ramon,265
13,Evening of Songs and Remembrance,2025-09-01,Michve Alon,212
14,Torah Lesson,2025-08-10,Bislach,356
15,Special Prayer for Soldiers,2025-08-11,Ashdod Base,326
16,Joint Study Session,2025-08-01,Tzeelim,153
17,Joint Study Session,2025-05-16,Ashdod Base,328
18,Joint Selichot,2025-09-01,Ashdod Base,125
19,Hanukkah Event,2025-05-24,Negev Junction,19
20,Megillah Reading,2025-08-03,Be'er Sheva Base,351
21,Rosh Chodesh Prayer,2025-05-20,Bahad 1,115
22,Hanukkah Event,2025-07-26,Sde Dov,216
23,Hanukkah Event,2025-06-26,Ramat David,120
24,Special Prayer for Soldiers,2025-07-20,Tel HaShomer,378
25,Rosh Chodesh Prayer,2025-07-14,Ramat David,383
26,Torah Lesson,2025-06-26,Tzeelim,157
27,Battalion Shabbaton,2025-05-29,Ramat David,235
28,Special Prayer for Soldiers,2025-07-29,Michve Alon,195
29,Special Prayer for Soldiers,2025-09-02,Bislach,384
30,Megillah Reading,2025-05-17,Ashdod Base,355
31,Melaveh Malka Meal,2025-07-16,Kirya Tel Aviv,279
32,Lecture with Military Rabbi,2025-08-23,Tzeelim,276
33,Lecture on IDF and Judaism,2025-08-20,Tel HaShomer,327
34,Torah Lesson,2025-05-31,Kiryat Shmona,314
35,Evening of Songs and Remembrance,2025-07-14,Mitzpe Ramon,108
36,Torah Lesson,2025-06-21,Kirya Tel Aviv,45
37,Rosh Chodesh Prayer,2025-08-15,Negev Junction,111
38,Lecture on IDF and Judaism,2025-05-26,Sde Dov,366
39,Joint Study Session,2025-05-20,Kiryat Shmona,321
40,Lecture with Military Rabbi,2025-08-15,Palmachim,231
41,Hanukkah Event,2025-06-15,Ashdod Base,189
42,Lecture on IDF and Judaism,2025-07-19,Tel HaShomer,286
43,Evening of Songs and Remembrance,2025-08-12,Kirya Tel Aviv,142
44,Lecture with Military Rabbi,2025-06-04,Negev Junction,220
45,Joint Study Session,2025-07-11,Netzarim Base,175
46,Battalion Shabbaton,2025-07-11,Glilot,275
47,Megillah Reading,2025-05-26,Sde Dov,63
48,Hanukkah Event,2025-07-13,Be'er Sheva Base,388
49,Lecture on IDF and Judaism,2025-07-29,Haifa Port,129
50,Megillah Reading,2025-08-01,Sde Dov,116
51,Melaveh Malka Meal,2025-06-04,Netzarim Base,247
52,Special Prayer for Soldiers,2025-08-31,Be'er Sheva Base,50
53,Battalion Shabbaton,2025-08-27,Glilot,339
54,Halacha Seminar,2025-08-29,Be'er Sheva Base,209
55,Lecture with Military Rabbi,2025-05-19,Tzeelim,367
56,Rosh Chodesh Prayer,2025-07-30,Tzeelim,285
57,Megillah Reading,2025-06-12,Ramat David,383
58,Hanukkah Event,2025-08-28,Sde Dov,226
59,Halacha Seminar,2025-07-10,Negev Junction,19
60,Halacha Seminar,2025-07-28,Kiryat Shmona,91
61,Rosh Chodesh Prayer,2025-08-25,Michve Alon,60
62,Lecture on IDF and Judaism,2025-08-22,Michve Alon,29
63,Evening of Songs and Remembrance,2025-05-22,Negev Junction,140
64,Special Prayer for Soldiers,2025-07-08,Sde Dov,39
65,Special Prayer for Soldiers,2025-07-07,Negev Junction,9
66,Melaveh Malka Meal,2025-07-14,Sde Dov,116
67,Lecture with Military Rabbi,2025-07-18,Netzarim Base,377
68,Megillah Reading,2025-05-31,Haifa Port,71
69,Halacha Seminar,2025-09-05,Ashdod Base,125
70,Lecture on IDF and Judaism,2025-05-19,Ramat David,286
71,Joint Study Session,2025-08-01,Be'er Sheva Base,156
72,Rosh Chodesh Prayer,2025-08-01,Palmachim,231
73,Melaveh Malka Meal,2025-09-05,Kirya Tel Aviv,162
74,Battalion Shabbaton,2025-05-18,Haifa Port,372
75,Megillah Reading,2025-05-29,Haifa Port,71
76,Melaveh Malka Meal,2025-07-30,Tzrifin,255
77,Evening of Songs and Remembrance,2025-06-12,Michve Alon,195
78,Joint Study Session,2025-08-17,Ashdod Base,189
79,Joint Study Session,2025-07-11,Haifa Port,327
80,Evening of Songs and Remembrance,2025-07-10,Mitzpe Ramon,250
81,Battalion Shabbaton,2025-07-24,Kiryat Shmona,334
82,Lecture with Military Rabbi,2025-06-10,Tel HaShomer,340
83,Melaveh Malka Meal,2025-06-29,Sde Dov,120
84,Evening of Songs and Remembrance,2025-05-27,Mitzpe Ramon,250
85,Megillah Reading,2025-09-03,Ramat David,272
86,Melaveh Malka Meal,2025-08-20,Negev Junction,253
87,Special Prayer for Soldiers,2025-08-30,Tzeelim,308
88,Lecture with Military Rabbi,2025-06-23,Kirya Tel Aviv,162
89,Evening of Songs and Remembrance,2025-07-12,Mitzpe Ramon,58
90,Lecture on IDF and Judaism,2025-06-15,Tel HaShomer,340
91,Joint Study Session,2025-07-06,Bahad 1,84
92,Halacha Seminar,2025-05-19,Glilot,203
93,Hanukkah Event,2025-06-29,Bislach,239
94,Joint Selichot,2025-07-09,Negev Junction,223
95,Megillah Reading,2025-08-18,Tzeelim,276
96,Evening of Songs and Remembrance,2025-07-07,Netzarim Base,101
97,Evening of Songs and Remembrance,2025-09-01,Eilat Base,87
98,Lecture on IDF and Judaism,2025-05-23,Negev Junction,214
99,Melaveh Malka Meal,2025-08-21,Negev Junction,369
100,Melaveh Malka Meal,2025-08-12,Michve Alon,195
101,Joint Selichot,2025-07-29,Haifa Port,174
102,Hanukkah Event,2025-09-03,Tel HaShomer,281
103,Torah Lesson,2025-06-29,Eilat Base,148
104,Hanukkah Event,2025-08-20,Palmachim,22
105,Battalion Shabbaton,2025-07-30,Palmachim,189
106,Battalion Shabbaton,2025-07-04,Mitzpe Ramon,242
107,Hanukkah Event,2025-07-08,Ramat David,314
108,Megillah Reading,2025-07-22,Ashdod Base,341
109,Melaveh Malka Meal,2025-05-21,Palmachim,139
110,Halacha Seminar,2025-07-08,Ramat David,119
111,Melaveh Malka Meal,2025-07-15,Tzeelim,121
112,Lecture on IDF and Judaism,2025-09-03,Bahad 1,280
113,Battalion Shabbaton,2025-06-26,Kiryat Shmona,145
114,Lecture with Military Rabbi,2025-07-01,Michve Alon,195
115,Joint Selichot,2025-08-15,Michve Alon,206
116,Joint Selichot,2025-06-04,Negev Junction,399
117,Megillah Reading,2025-07-11,Be'er Sheva Base,54
118,Evening of Songs and Remembrance,2025-06-27,Negev Junction,223
119,Melaveh Malka Meal,2025-07-27,Glilot,163
120,Battalion Shabbaton,2025-06-08,Mitzpe Ramon,9
121,Melaveh Malka Meal,2025-07-28,Mitzpe Ramon,86
122,Battalion Shabbaton,2025-07-18,Netzarim Base,259
123,Hanukkah Event,2025-06-11,Michve Alon,152
124,Torah Lesson,2025-05-14,Kirya Tel Aviv,302
125,Joint Study Session,2025-07-18,Ramat David,109
126,Special Prayer for Soldiers,2025-05-26,Michve Alon,152
127,Melaveh Malka Meal,2025-07-02,Ramat David,400
128,Battalion Shabbaton,2025-07-07,Bahad 1,115
129,Halacha Seminar,2025-05-29,Bislach,23
130,Joint Study Session,2025-09-06,Tzeelim,49
131,Lecture on IDF and Judaism,2025-08-03,Be'er Sheva Base,54
132,Lecture with Military Rabbi,2025-07-30,Bahad 1,115
133,Lecture with Military Rabbi,2025-08-11,Ramat David,291
134,Lecture with Military Rabbi,2025-06-10,Kirya Tel Aviv,54
135,Halacha Seminar,2025-05-16,Bahad 1,115
136,Melaveh Malka Meal,2025-08-05,Tzrifin,93
137,Joint Selichot,2025-05-21,Bislach,160
138,Halacha Seminar,2025-05-17,Tzrifin,255
139,Halacha Seminar,2025-07-17,Kiryat Shmona,145
140,Lecture with Military Rabbi,2025-06-18,Glilot,289
141,Battalion Shabbaton,2025-08-10,Bahad 1,112
142,Joint Study Session,2025-06-29,Mitzpe Ramon,136
143,Battalion Shabbaton,2025-05-18,Bislach,384
144,Rosh Chodesh Prayer,2025-06-14,Tel HaShomer,387
145,Joint Study Session,2025-09-04,Palmachim,38
146,Battalion Shabbaton,2025-08-16,Bahad 1,19
147,Melaveh Malka Meal,2025-08-06,Ramat David,341
148,Special Prayer for Soldiers,2025-06-30,Be'er Sheva Base,260
149,Rosh Chodesh Prayer,2025-06-08,Bahad 1,134
150,Torah Lesson,2025-05-17,Netzarim Base,180
151,Joint Selichot,2025-07-13,Glilot,294
152,Lecture with Military Rabbi,2025-08-27,Bahad 1,389
153,Hanukkah Event,2025-08-19,Palmachim,38
154,Special Prayer for Soldiers,2025-05-13,Negev Junction,73
155,Melaveh Malka Meal,2025-06-28,Tzeelim,234
156,Hanukkah Event,2025-05-29,Tel HaShomer,273
157,Halacha Seminar,2025-08-24,Negev Junction,214
158,Melaveh Malka Meal,2025-05-13,Kiryat Shmona,145
159,Evening of Songs and Remembrance,2025-06-12,Mitzpe Ramon,250
160,Melaveh Malka Meal,2025-06-27,Glilot,2
161,Evening of Songs and Remembrance,2025-09-07,Eilat Base,227
162,Special Prayer for Soldiers,2025-06-12,Palmachim,231
163,Evening of Songs and Remembrance,2025-06-01,Be'er Sheva Base,75
164,Joint Selichot,2025-07-29,Bislach,83
165,Megillah Reading,2025-08-02,Mitzpe Ramon,303
166,Hanukkah Event,2025-07-08,Haifa Port,199
167,Torah Lesson,2025-08-14,Palmachim,220
168,Joint Selichot,2025-07-23,Michve Alon,323
169,Lecture on IDF and Judaism,2025-08-09,Ramat David,32
170,Rosh Chodesh Prayer,2025-07-21,Michve Alon,323
171,Joint Selichot,2025-06-03,Tzeelim,22
172,Torah Lesson,2025-09-08,Tel HaShomer,330
173,Joint Study Session,2025-06-22,Michve Alon,374
174,Melaveh Malka Meal,2025-07-05,Sde Dov,3
175,Torah Lesson,2025-07-13,Glilot,203
176,Torah Lesson,2025-06-20,Kiryat Shmona,145
177,Lecture with Military Rabbi,2025-08-08,Kirya Tel Aviv,54
178,Lecture with Military Rabbi,2025-06-05,Kiryat Shmona,183
179,Torah Lesson,2025-07-25,Bahad 1,130
180,Evening of Songs and Remembrance,2025-07-14,Be'er Sheva Base,371
181,Joint Study Session,2025-06-30,Negev Junction,10
182,Evening of Songs and Remembrance,2025-09-05,Tzrifin,62
183,Special Prayer for Soldiers,2025-08-31,Mitzpe Ramon,98
184,Battalion Shabbaton,2025-05-25,Ashdod Base,232
185,Megillah Reading,2025-06-14,Michve Alon,212
186,Halacha Seminar,2025-05-19,Tzeelim,22
187,Joint Selichot,2025-08-06,Bahad 1,356
188,Joint Selichot,2025-05-25,Ashdod Base,59
189,Rosh Chodesh Prayer,2025-06-23,Michve Alon,55
190,Melaveh Malka Meal,2025-07-11,Tzeelim,285
191,Halacha Seminar,2025-07-01,Bahad 1,347
192,Evening of Songs and Remembrance,2025-08-10,Bahad 1,84
193,Joint Study Session,2025-08-22,Netzarim Base,175
194,Halacha Seminar,2025-06-12,Negev Junction,73
195,Hanukkah Event,2025-05-26,Camp Dotan,165
196,Special Prayer for Soldiers,2025-07-14,Glilot,275
197,Hanukkah Event,2025-06-28,Mitzpe Ramon,156
198,Halacha Seminar,2025-06-26,Bahad 1,84
199,Joint Selichot,2025-06-02,Negev Junction,376
200,Special Prayer for Soldiers,2025-05-25,Bahad 1,347
201,Lecture on IDF and Judaism,2025-08-23,Tzrifin,386
202,Hanukkah Event,2025-08-16,Mitzpe Ramon,98
203,Rosh Chodesh Prayer,2025-07-29,Tzeelim,153
204,Lecture with Military Rabbi,2025-09-03,Kirya Tel Aviv,307
205,Battalion Shabbaton,2025-07-04,Glilot,203
206,Joint Study Session,2025-06-10,Michve Alon,301
207,Hanukkah Event,2025-08-08,Glilot,2
208,Joint Study Session,2025-06-06,Eilat Base,87
209,Lecture with Military Rabbi,2025-07-26,Negev Junction,376
210,Evening of Songs and Remembrance,2025-08-20,Mitzpe Ramon,381
211,Joint Study Session,2025-08-06,Michve Alon,370
212,Halacha Seminar,2025-05-19,Bislach,119
213,Rosh Chodesh Prayer,2025-05-17,Haifa Port,92
214,Joint Selichot,2025-08-25,Netzarim Base,377
215,Lecture on IDF and Judaism,2025-07-27,Ashdod Base,341
216,Special Prayer for Soldiers,2025-05-22,Netzarim Base,217
217,Hanukkah Event,2025-07-10,Tzeelim,285
218,Hanukkah Event,2025-08-11,Netzarim Base,40
219,Battalion Shabbaton,2025-08-08,Be'er Sheva Base,209
220,Joint Selichot,2025-08-17,Sde Dov,78
221,Rosh Chodesh Prayer,2025-07-18,Ramat David,81
222,Joint Study Session,2025-08-14,Palmachim,190
223,Lecture with Military Rabbi,2025-09-03,Bislach,383
224,Rosh Chodesh Prayer,2025-07-26,Bislach,313
225,Lecture with Military Rabbi,2025-07-15,Mitzpe Ramon,250
226,Lecture with Military Rabbi,2025-06-28,Tel HaShomer,279
227,Joint Selichot,2025-07-02,Bislach,83
228,Rosh Chodesh Prayer,2025-05-29,Palmachim,11
229,Special Prayer for Soldiers,2025-07-03,Michve Alon,323
230,Battalion Shabbaton,2025-08-19,Mitzpe Ramon,242
231,Megillah Reading,2025-07-22,Palmachim,124
232,Joint Study Session,2025-09-01,Glilot,289
233,Torah Lesson,2025-08-25,Haifa Port,147
234,Lecture with Military Rabbi,2025-05-19,Mitzpe Ramon,393
235,Halacha Seminar,2025-06-25,Mitzpe Ramon,392
236,Megillah Reading,2025-05-27,Ramat David,155
237,Battalion Shabbaton,2025-08-18,Palmachim,139
238,Special Prayer for Soldiers,2025-05-29,Kirya Tel Aviv,380
239,Joint Selichot,2025-07-23,Tel HaShomer,330
240,Joint Study Session,2025-07-12,Ashdod Base,237
241,Special Prayer for Soldiers,2025-06-04,Ashdod Base,232
242,Lecture on IDF and Judaism,2025-06-21,Julis Base,234
243,Halacha Seminar,2025-06-11,Eilat Base,87
244,Melaveh Malka Meal,2025-09-05,Kirya Tel Aviv,180
245,Special Prayer for Soldiers,2025-06-20,Michve Alon,140
246,Megillah Reading,2025-07-30,Tzeelim,176
247,Battalion Shabbaton,2025-06-17,Tzeelim,210
248,Megillah Reading,2025-07-15,Kiryat Shmona,172
249,Melaveh Malka Meal,2025-08-20,Palmachim,236
250,Joint Study Session,2025-09-03,Palmachim,124
251,Lecture with Military Rabbi,2025-05-13,Be'er Sheva Base,75
252,Halacha Seminar,2025-06-03,Michve Alon,323
253,Megillah Reading,2025-08-06,Kirya Tel Aviv,310
254,Lecture on IDF and Judaism,2025-08-02,Tzeelim,43
255,Lecture with Military Rabbi,2025-05-27,Kirya Tel Aviv,24
256,Halacha Seminar,2025-09-08,Negev Junction,170
257,Lecture on IDF and Judaism,2025-07-06,Ashdod Base,125
258,Joint Study Session,2025-05-29,Ramat David,59
259,Joint Selichot,2025-06-24,Sde Dov,226
260,Lecture with Military Rabbi,2025-06-09,Michve Alon,166
261,Lecture on IDF and Judaism,2025-07-30,Mitzpe Ramon,250
262,Melaveh Malka Meal,2025-07-16,Bislach,160
263,Megillah Reading,2025-06-16,Tzeelim,234
264,Evening of Songs and Remembrance,2025-07-15,Bahad 1,84
265,Special Prayer for Soldiers,2025-06-29,Bislach,160
266,Lecture with Military Rabbi,2025-05-21,Michve Alon,60
267,Battalion Shabbaton,2025-08-01,Palmachim,38
268,Evening of Songs and Remembrance,2025-07-21,Bislach,239
269,Battalion Shabbaton,2025-05-26,Eilat Base,72
270,Hanukkah Event,2025-08-16,Palmachim,22
271,Megillah Reading,2025-07-15,Netzarim Base,331
272,Special Prayer for Soldiers,2025-08-02,Kiryat Shmona,207
273,Evening of Songs and Remembrance,2025-06-20,Haifa Port,182
274,Halacha Seminar,2025-08-31,Eilat Base,227
275,Torah Lesson,2025-07-23,Glilot,339
276,Joint Study Session,2025-07-19,Kiryat Shmona,262
277,Joint Study Session,2025-08-17,Sde Dov,63
278,Lecture with Military Rabbi,2025-07-11,Tzeelim,36
279,Joint Selichot,2025-08-15,Mitzpe Ramon,111
280,Melaveh Malka Meal,2025-07-21,Kirya Tel Aviv,82
281,Torah Lesson,2025-06-02,Mitzpe Ramon,386
282,Halacha Seminar,2025-08-23,Be'er Sheva Base,209
283,Hanukkah Event,2025-08-08,Ramat David,235
284,Halacha Seminar,2025-09-02,Sde Dov,78
285,Evening of Songs and Remembrance,2025-07-10,Haifa Port,71
286,Melaveh Malka Meal,2025-05-23,Bahad 1,347
287,Halacha Seminar,2025-08-07,Negev Junction,9
288,Lecture on IDF and Judaism,2025-07-30,Tzrifin,255
289,Battalion Shabbaton,2025-07-08,Haifa Port,71
290,Torah Lesson,2025-08-03,Haifa Port,65
291,Megillah Reading,2025-05-16,Bahad 1,356
292,Joint Study Session,2025-06-15,Tzrifin,336
293,Torah Lesson,2025-07-09,Palmachim,197
294,Joint Selichot,2025-06-19,Eilat Base,36
295,Halacha Seminar,2025-07-27,Mitzpe Ramon,242
296,Torah Lesson,2025-05-23,Michve Alon,331
297,Melaveh Malka Meal,2025-09-05,Kirya Tel Aviv,142
298,Joint Study Session,2025-07-31,Glilot,2
299,Special Prayer for Soldiers,2025-08-25,Mitzpe Ramon,320
300,Special Prayer for Soldiers,2025-08-07,Be'er Sheva Base,388
301,Halacha Seminar,2025-08-16,Palmachim,38
302,Megillah Reading,2025-08-30,Bahad 1,17
303,Rosh Chodesh Prayer,2025-08-25,Ramat David,8
304,Lecture on IDF and Judaism,2025-07-22,Palmachim,231
305,Torah Lesson,2025-07-21,Bahad 1,115
306,Hanukkah Event,2025-07-30,Mitzpe Ramon,31
307,Joint Study Session,2025-08-02,Sde Dov,120
308,Torah Lesson,2025-06-28,Michve Alon,29
309,Megillah Reading,2025-05-22,Mitzpe Ramon,52
310,Melaveh Malka Meal,2025-07-26,Tzeelim,153
311,Special Prayer for Soldiers,2025-08-17,Be'er Sheva Base,302
312,Melaveh Malka Meal,2025-06-05,Ashdod Base,326
313,Hanukkah Event,2025-07-19,Mitzpe Ramon,355
314,Torah Lesson,2025-08-11,Mitzpe Ramon,108
315,Joint Selichot,2025-06-18,Tzeelim,344
316,Torah Lesson,2025-06-22,Netzarim Base,101
317,Melaveh Malka Meal,2025-08-28,Bislach,169
318,Megillah Reading,2025-06-20,Julis Base,319
319,Megillah Reading,2025-06-08,Be'er Sheva Base,388
320,Special Prayer for Soldiers,2025-07-22,Ashdod Base,72
321,Joint Study Session,2025-08-20,Ashdod Base,232
322,Lecture on IDF and Judaism,2025-05-30,Bahad 1,318
323,Joint Selichot,2025-08-08,Palmachim,244
324,Megillah Reading,2025-05-13,Tel HaShomer,330
325,Megillah Reading,2025-07-28,Palmachim,148
326,Lecture with Military Rabbi,2025-07-20,Palmachim,154
327,Joint Selichot,2025-05-17,Bahad 1,130
328,Evening of Songs and Remembrance,2025-06-20,Haifa Port,182
329,Hanukkah Event,2025-06-22,Kirya Tel Aviv,259
330,Melaveh Malka Meal,2025-07-19,Haifa Port,17
331,Lecture with Military Rabbi,2025-08-03,Tzrifin,336
332,Megillah Reading,2025-07-12,Tel HaShomer,378
333,Halacha Seminar,2025-09-07,Sde Dov,78
334,Evening of Songs and Remembrance,2025-09-01,Mitzpe Ramon,265
335,Battalion Shabbaton,2025-07-25,Kiryat Shmona,334
336,Battalion Shabbaton,2025-05-26,Haifa Port,147
337,Torah Lesson,2025-06-30,Kirya Tel Aviv,149
338,Megillah Reading,2025-05-26,Mitzpe Ramon,99
339,Halacha Seminar,2025-07-17,Bislach,160
340,Hanukkah Event,2025-07-09,Kiryat Shmona,262
341,Megillah Reading,2025-09-09,Mitzpe Ramon,320
342,Hanukkah Event,2025-07-13,Kiryat Shmona,336
343,Battalion Shabbaton,2025-06-26,Palmachim,38
344,Melaveh Malka Meal,2025-05-13,Sde Dov,204
345,Hanukkah Event,2025-06-04,Haifa Port,92
346,Megillah Reading,2025-07-24,Haifa Port,147
347,Rosh Chodesh Prayer,2025-08-07,Bislach,268
348,Halacha Seminar,2025-07-14,Ashdod Base,28
349,Special Prayer for Soldiers,2025-07-25,Be'er Sheva Base,50
350,Joint Study Session,2025-06-12,Negev Junction,253
351,Rosh Chodesh Prayer,2025-07-19,Eilat Base,264
352,Melaveh Malka Meal,2025-08-12,Negev Junction,376
353,Megillah Reading,2025-07-08,Michve Alon,206
354,Halacha Seminar,2025-06-18,Kiryat Shmona,182
355,Battalion Shabbaton,2025-05-14,Eilat Base,140
356,Special Prayer for Soldiers,2025-07-30,Haifa Port,327
357,Battalion Shabbaton,2025-07-12,Glilot,143
358,Halacha Seminar,2025-06-21,Tzrifin,7
359,Special Prayer for Soldiers,2025-08-21,Netzarim Base,127
360,Megillah Reading,2025-09-07,Tzrifin,191
361,Joint Study Session,2025-07-25,Mitzpe Ramon,381
362,Torah Lesson,2025-08-12,Tzrifin,62
363,Joint Selichot,2025-06-24,Ashdod Base,72
364,Lecture with Military Rabbi,2025-08-14,Kirya Tel Aviv,124
365,Melaveh Malka Meal,2025-08-21,Negev Junction,68
366,Battalion Shabbaton,2025-06-23,Mitzpe Ramon,98
367,Rosh Chodesh Prayer,2025-07-05,Negev Junction,353
368,Joint Selichot,2025-09-05,Ramat David,57
369,Melaveh Malka Meal,2025-05-27,Netzarim Base,217
370,Hanukkah Event,2025-06-22,Tzeelim,276
371,Lecture with Military Rabbi,2025-07-11,Michve Alon,331
372,Hanukkah Event,2025-08-04,Netzarim Base,175
373,Battalion Shabbaton,2025-07-25,Negev Junction,253
374,Rosh Chodesh Prayer,2025-08-07,Eilat Base,148
375,Torah Lesson,2025-09-04,Sde Dov,78
376,Lecture on IDF and Judaism,2025-09-08,Netzarim Base,247
377,Melaveh Malka Meal,2025-07-15,Tzrifin,386
378,Lecture with Military Rabbi,2025-06-30,Tzrifin,191
379,Joint Study Session,2025-08-01,Negev Junction,73
380,Evening of Songs and Remembrance,2025-07-02,Bislach,169
381,Joint Selichot,2025-08-16,Kirya Tel Aviv,124
382,Megillah Reading,2025-07-11,Michve Alon,323
383,Hanukkah Event,2025-06-12,Ashdod Base,28
384,Torah Lesson,2025-09-01,Negev Junction,220
385,Lecture with Military Rabbi,2025-05-26,Netzarim Base,217
386,Rosh Chodesh Prayer,2025-05-31,Mitzpe Ramon,58
387,Battalion Shabbaton,2025-06-17,Michve Alon,213
388,Battalion Shabbaton,2025-06-04,Negev Junction,73
389,Rosh Chodesh Prayer,2025-07-10,Palmachim,43
390,Melaveh Malka Meal,2025-07-12,Kirya Tel Aviv,82
391,Joint Selichot,2025-08-19,Ramat David,155
392,Halacha Seminar,2025-06-19,Ramat David,291
393,Halacha Seminar,2025-05-29,Michve Alon,323
394,Battalion Shabbaton,2025-06-10,Glilot,141
395,Halacha Seminar,2025-08-30,Michve Alon,206
396,Joint Selichot,2025-07-25,Mitzpe Ramon,31
397,Special Prayer for Soldiers,2025-08-05,Negev Junction,73
398,Torah Lesson,2025-08-30,Haifa Port,64
399,Lecture with Military Rabbi,2025-08-27,Kiryat Shmona,156
400,Lecture with Military Rabbi,2025-07-21,Negev Junction,220
